Função;Categoria;Subcategoria;Descrição da subcategoria;Nivel de Maturidade Atual;Pontuação Atual;Cenário Atual;Evidência/Fonte;Gaps;Recomendações
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-06;"Um método padronizado para calcular, documentar, categorizar e priorizar riscos de cibersegurança é estabelecido e comunicado

Exemplo 1: Estabelecer critérios para o uso de uma abordagem quantitativa para análise de riscos em cibersegurança e especificar fórmulas de probabilidade e exposição
Exemplo 2: Criar e usar modelos (por exemplo, um registro de risco) para documentar informações de risco de cibersegurança (por exemplo, descrição de risco, exposição, tratamento e titularidade)
Exemplo 3: Estabelecer critérios para priorização de riscos nos níveis apropriados dentro da empresa
Exemplo 4: Utilize uma lista consistente de categorias de risco para apoiar a integração, agregação e comparação de riscos de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há um método padronizado para calcular, documentar, categorizar e priorizar riscos de cibersegurança.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] - CGTI, a fim de receber, analisar e responder às notificações e atividades relacionadas aos incidentes de segurança em redes computacionais no órgão.;Elaborar um método padronizado para calcular, documentar, categorizar e priorizar riscos de cibersegurança;Implementar um modelo de gestão de risco que inclua a identificação, análise e priorização de riscos de cibersegurança
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-07;"Oportunidades estratégicas (ou seja, riscos positivos) são caracterizadas e incluídas nas discussões organizacionais sobre riscos de cibersegurança

Exemplo 1: Definir e comunicar orientações e métodos para identificar oportunidades e incluí-las em discussões sobre riscos (por exemplo, análises SWOT de pontos fortes, fraquezas, oportunidades e ameaças)
Exemplo 2: Identifique metas de extensão e documente-as
Exemplo 3: Calcular, documentar e priorizar riscos positivos junto com riscos negativos";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações da CGTI aborda a gestão de risco, continuidade e auditoria. No entanto, não há explicitamente mencionadas oportunidades estratégicas (ou seja, riscos positivos) como parte das discussões sobre riscos de cibersegurança.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de risco para identificar e implementar medidas de proteção necessárias para mitigar ou eliminar os riscos.;A política não aborda explicitamente oportunidades estratégicas (ou seja, riscos positivos) como parte das discussões sobre riscos de cibersegurança. É necessário estabelecer políticas e processos formais para identificar e priorizar essas oportunidades.;Elaborar política formal para a gestão de oportunidades estratégicas (ou seja, riscos positivos) como parte das discussões sobre riscos de cibersegurança.
GOVERNAR (GV);Papéis, Responsabilidades e Autoridades (GV. RR);GV. RR-01;"A liderança organizacional é responsável e responsável pelos riscos de cibersegurança e promove uma cultura consciente do risco, ética e em constante melhoria

Exemplo 1: Líderes (por exemplo, diretores) concordam sobre seus papéis e responsabilidades no desenvolvimento, implementação e avaliação da estratégia de cibersegurança da organização
Exemplo 2: Compartilhe as expectativas dos líderes em relação a uma cultura segura e ética, especialmente quando eventos atuais oferecem a oportunidade de destacar exemplos positivos ou negativos de gestão de riscos em cibersegurança
Exemplo 3: Os líderes orientam o CISO a manter uma estratégia abrangente de risco de cibersegurança e a revisá-la e atualizá-la pelo menos anualmente e após grandes eventos
Exemplo 4: Realizar revisões para garantir autoridade adequada e coordenação entre aqueles responsáveis pela gestão do risco de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A liderança organizacional é responsável e consciente dos riscos de cibersegurança, promovendo uma cultura segura e ética.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de risco como critério para identificar e implementar medidas de proteção necessárias para mitigar ou eliminar os riscos.;A falta de uma abordagem mais formalizada e revisada regularmente para gerenciar riscos de cibersegurança;Elaborar política formal para gestão de risco e implementar processo de revisão regular
GOVERNAR (GV);Papéis, Responsabilidades e Autoridades (GV. RR);GV. RR-02;"Funções, responsabilidades e autoridades relacionadas à gestão de riscos de cibersegurança são estabelecidas, comunicadas, compreendidas e aplicadas

Exemplo 1: Documentar papéis e responsabilidades de gestão de riscos em políticas
Exemplo 2: Documente quem é responsável e responsável pelas atividades de gestão de riscos de cibersegurança e como essas equipes e indivíduos devem ser consultados e informados
Exemplo 3: Incluir responsabilidades e requisitos de desempenho em cibersegurança nas descrições de pessoal
Exemplo 4: Documente metas de desempenho para profissionais com responsabilidades de gestão de riscos em cibersegurança e meça periodicamente o desempenho para identificar áreas a melhorar
Exemplo 5: Articular claramente as responsabilidades de cibersegurança dentro das operações, funções de risco e auditoria interna";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações estabelece funções, responsabilidades e autoridades relacionadas à gestão de riscos de cibersegurança. No entanto, não há uma abordagem formal para gerenciar esses riscos.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece que a gestão de risco deve ser adotada para identificar e implementar medidas de proteção necessárias para mitigar ou eliminar os riscos.;A falta de uma abordagem formal para gerenciar esses riscos impede que a organização tenha um entendimento claro sobre as responsabilidades e autoridades relacionadas à gestão de riscos de cibersegurança.;Elaborar política formal para gerenciar riscos de cibersegurança, estabelecendo funções, responsabilidades e autoridades claras.
GOVERNAR (GV);Papéis, Responsabilidades e Autoridades (GV. RR);GV. RR-03;"Recursos adequados são alocados de acordo com a estratégia, funções, responsabilidades e políticas de risco de cibersegurança

Exemplo 1: Realizar revisões periódicas de gestão para garantir que aqueles responsáveis por gestão de riscos de cibersegurança tenham a autoridade necessária
Exemplo2: Identificar alocação e investimento de recursos em conformidade com a tolerância ao risco e a resposta
Exemplo 3: Fornecer pessoas adequadas e adequadas, recursos de processos e recursos técnicos para apoiar a estratégia de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há evidências claras de que os recursos sejam alocados de acordo com a estratégia, funções, responsabilidades e políticas de risco de cibersegurança.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece que a gestão de riscos deve ser adotada para identificar e implementar medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;É necessário estabelecer um processo formal para a alocação de recursos em conformidade com a tolerância ao risco e a resposta.;Elaborar política formal para a alocação de recursos em conformidade com a tolerância ao risco e a resposta.
GOVERNAR (GV);Papéis, Responsabilidades e Autoridades (GV. RR);GV. RR-04;"A cibersegurança está incluída nas práticas de recursos humanos

Exemplo 1: Integrar considerações de gestão de riscos de cibersegurança nos processos de recursos humanos (por exemplo, triagem de pessoal, integração, notificação de mudanças, offboarding)
Exemplo 2: Considere o conhecimento em cibersegurança um fator positivo nas decisões de contratação, treinamento e retenção
Exemplo 3: Realizar verificações de antecedentes antes de integrar novos profissionais para funções sensíveis e, periodicamente, repetir verificações de antecedentes para profissionais com tais funções
Exemplo 4: Definir e aplicar obrigações para que o pessoal esteja ciente, cumpra e cumpra políticas de segurança relacionadas às suas funções";Nível 2: Informado sobre Riscos;2.0;A cibersegurança está incluída nas práticas de recursos humanos, o que demonstra uma compreensão básica dos riscos e necessidades de proteção.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A gestão de risco deve ser adotada para a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não estabelece claramente como as considerações de gestão de riscos de cibersegurança serão integradas nos processos de recursos humanos.;Elaborar política formal que defina como as considerações de gestão de riscos de cibersegurança serão integradas nos processos de recursos humanos.
GOVERNAR (GV);Política (GV. PO);GV. PO-01;"A política para gerenciar riscos de cibersegurança é estabelecida com base no contexto organizacional, estratégia e prioridades de cibersegurança, sendo comunicada e aplicada

Exemplo 1: Criar, disseminar e manter uma política de gestão de riscos compreensível e utilizável, com declarações de intenção, expectativas e direção da gestão
Exemplo 2: Revisar periodicamente políticas e processos e procedimentos de apoio para garantir que estejam alinhados com os objetivos e prioridades da estratégia de gestão de riscos, bem como com a direção de alto nível da política de cibersegurança
Exemplo 3: Exigir aprovação da alta administração em políticas
Exemplo 4: Comunicar políticas de gestão de riscos em cibersegurança e processos e procedimentos de apoio em toda a organização
Exemplo 5: Exigir que o pessoal confirme o recebimento da apólice na primeira contratação, anualmente, e sempre que a apólice for atualizada";Nível 2: Informado sobre Riscos;2.0;A política para gerenciar riscos de cibersegurança é estabelecida com base no contexto organizacional, estratégia e prioridades de cibersegurança, sendo comunicada e aplicada.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] CONTEÚDO: ATENÇÃO ...;A política não é revisada periodicamente para garantir que esteja alinhada com os objetivos e prioridades da estratégia de gestão de riscos.;Revisar periodicamente a política para garantir que esteja alinhada com os objetivos e prioridades da estratégia de gestão de riscos.
GOVERNAR (GV);Política (GV. PO);GV. PO-02;"A política de gerenciamento de riscos de cibersegurança é revisada, atualizada, comunicada e aplicada para refletir mudanças em requisitos, ameaças, tecnologia e missão organizacional

Exemplo 1: Atualizar a política com base em revisões periódicas dos resultados da gestão de riscos de cibersegurança para garantir que a política e os processos e procedimentos de apoio mantenham adequadamente o risco em um nível aceitável
Exemplo 2: Forneça um cronograma para revisar mudanças no ambiente de risco da organização (por exemplo, mudanças de risco ou nos objetivos da missão da organização) e comunice atualizações recomendadas de políticas
Exemplo 3: Atualizar a política para refletir mudanças nos requisitos legais e regulatórios
Exemplo 4: Atualizar a política para refletir mudanças na tecnologia (por exemplo, adoção de inteligência artificial) e mudanças no negócio (por exemplo, aquisição de um novo negócio, novos requisitos contratuais)";Nível 2: Informado sobre Riscos;2.0;A política de gerenciamento de riscos de cibersegurança é revisada, atualizada, comunicada e aplicada para refletir mudanças em requisitos, ameaças, tecnologia e missão organizacional.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI.;A política não apresenta um cronograma para revisar mudanças no ambiente de risco da organização e comunica atualizações recomendadas de políticas.;Elaborar um cronograma para revisar mudanças no ambiente de risco da organização e comunicação atualizações recomendadas de políticas.
GOVERNAR (GV);Supervisão (GV. OV);GV. OV-01;"Os resultados da estratégia de gestão de riscos em cibersegurança são revisados para informar e ajustar a estratégia e a direção

Exemplo 1: Mese o quão bem a estratégia de gestão de riscos e os resultados de risco ajudaram líderes a tomar decisões e alcançar objetivos organizacionais
Exemplo 2: Examinar se estratégias de risco de cibersegurança que dificultem operações ou inovação devem ser ajustadas";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações estabelece objetivos para a gestão de risco e continuidade, bem como regras para o tratamento de informações classificadas.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo é identificar e implementar medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não estabelece como os resultados da estratégia de gestão de risco são revisados e ajustados.;Elaborar processo formal para revisar e ajustar a estratégia de gestão de risco.
GOVERNAR (GV);Supervisão (GV. OV);GV. OV-02;"A estratégia de gestão de riscos em cibersegurança é revisada e ajustada para garantir a cobertura dos requisitos e riscos organizacionais

Exemplo 1: Revise os resultados da auditoria para confirmar se a estratégia existente de cibersegurança garantiu o cumprimento dos requisitos internos e externos
Exemplo 2: Revise a supervisão de desempenho daqueles em funções relacionadas à cibersegurança para determinar se mudanças de políticas são necessárias
Exemplo 3: Revisão da estratégia à luz de incidentes de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A estratégia de gestão de riscos em cibersegurança é revisada e ajustada para garantir a cobertura dos requisitos e riscos organizacionais.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece que deve ser adotada a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação da CGTI.;A política não define explicitamente como os riscos são identificados e priorizados.;Elaborar um processo formal para identificar e priorizar os riscos, garantindo que a gestão de riscos esteja alinhada com os objetivos organizacionais.
GOVERNAR (GV);Supervisão (GV. OV);GV. OV-03;"O desempenho da gestão de riscos de cibersegurança organizacional é avaliado e revisado quanto aos ajustes necessários

Exemplo 1: Revise os principais indicadores-chave de desempenho (KPIs) para garantir que as políticas e procedimentos de toda a organização atinjam os objetivos
Exemplo 2: Revise os principais indicadores de risco (KRIs) para identificar riscos enfrentados pela organização, incluindo probabilidade e impacto potencial
Exemplo 3: Coletar e comunicar métricas sobre gestão de riscos em cibersegurança com a alta liderança";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há evidências claras de que essas políticas sejam formalmente aprovadas e expressas como política organizacional.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A gestão de risco deve ser adotada para identificar e implementar medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não é formalmente aprovada e expressa como política organizacional. É necessário estabelecer um processo claro para revisão e atualização das políticas.;Elaborar política formal e implementar processo de revisão e atualização regular.
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-01;"Um programa, estratégia, objetivos, políticas e processos de gestão de riscos da cadeia de suprimentos em cibersegurança são estabelecidos e acordados pelas partes interessadas da organização

Exemplo 1: Estabelecer uma estratégia que expresse os objetivos do programa de gestão de riscos da cadeia de suprimentos em cibersegurança
Exemplo 2: Desenvolver o programa de gestão de riscos da cadeia de suprimentos em cibersegurança, incluindo um plano (com marcos), políticas e procedimentos que orientem a implementação e melhoria do programa, e compartilhar as políticas e procedimentos com as partes interessadas da organização
Exemplo 3: Desenvolver e implementar processos de programa com base na estratégia, objetivos, políticas e procedimentos acordados e realizados pelos stakeholders organizacionais
Exemplo 4: Estabelecer um mecanismo interorganizacional que assegure o alinhamento entre funções que contribuem para a gestão de riscos da cadeia de suprimentos em cibersegurança, como cibersegurança, TI, operações, jurídico, recursos humanos e engenharia";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de riscos, disponibilidade, integridade e controles de acesso. Além disso, há um grupo de pessoas responsáveis por receber, analisar e responder a notificações e atividades relacionadas a incidentes de segurança em redes computacionais.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O conteúdo da política aborda objetivos estabelecidos, gestão de risco, gestão de continuidade e auditoria e conformidade.;A falta de um plano formal para a implementação e melhoria do programa de gestão de riscos da cadeia de suprimentos em cibersegurança;Elaborar política formal para o programa de gestão de riscos da cadeia de suprimentos em cibersegurança
GOVERNAR (GV);Gestão de Riscos na Cadeia de Suprimentos em Cibersegurança (GV. SC);GV. SC-02;"Os papéis e responsabilidades de cibersegurança para fornecedores, clientes e parceiros são estabelecidos, comunicados e coordenados interna e externamente

Exemplo 1: Identificar um ou mais cargos ou cargos específicos que serão responsáveis e responsáveis pelo planejamento, financiamento e execução das atividades de gestão de riscos da cadeia de suprimentos em cibersegurança
Exemplo 2: Documentar os papéis e responsabilidades de gestão de riscos da cadeia de suprimentos em cibersegurança em políticas
Exemplo 3: Criar matrizes de responsabilidade para documentar quem será responsável e responsável pelas atividades de gestão de riscos da cadeia de suprimentos em cibersegurança e como essas equipes e indivíduos serão consultados e informados
Exemplo 4: Incluir responsabilidades de gestão de riscos da cadeia de suprimentos em cibersegurança e requisitos de desempenho nas descrições de pessoal para garantir clareza e melhorar a responsabilidade
Exemplo5: Documente metas de desempenho para profissionais com responsabilidades específicas de gestão de riscos em cibersegurança e as meça periodicamente para demonstrar e melhorar o desempenho
Exemplo 6: Desenvolver papéis e responsabilidades para fornecedores, clientes e parceiros de negócios para tratar das responsabilidades compartilhadas pelos riscos de cibersegurança aplicáveis, e integrá-los às políticas organizacionais e acordos de terceiros aplicáveis
Exemplo 7: Comunicar internamente os papéis e responsabilidades de gestão de riscos da cadeia de suprimentos em cibersegurança para terceiros
Exemplo 8: Estabelecer regras e protocolos para o compartilhamento de informações e processos de reporte entre a organização e seus fornecedores";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que estabelece objetivos, definições e terminologias. Além disso, há normas institucionais para classificação e tratamento de informações classificadas.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O objetivo estabelecido na política é a gestão de riscos de segurança da informação, segundo critérios a serem definidos pela área de Segurança da Informação.;A falta de um papel específico ou cargo responsável pelo planejamento, financiamento e execução das atividades de gestão de riscos da cadeia de suprimentos em cibersegurança.;Elaborar política formal para estabelecer papéis e responsabilidades claras para fornecedores, clientes e parceiros.
